_id,School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Email Address,School Website,School Level,School Special Conditions Type,Program Type,Association Membership
1240,Rotherglen School - Oakville Elementary,884950,Offers credits toward the Ontario Secondary School Diploma (OSSD),Laura Crumb,,,2050 Neyagawa Boulevard,Oakville,Ontario,L6H6R2,905-849-1897,905-849-1354,Central Region,erotherglen@rotherglen.com,www.rotherglen.com,Elem/Sec,Not applicable,Site based only,No Association Membership
1241,Rotherglen School Meadowvale Campus,885074,,Jacinta Snyder,,,929 Old Derry Road,Mississauga,Ontario,L5W1A1,905-565-8707,,Toronto Region,gerotherglen@rotherglen.com,www.rotherglen.com,Elementary,Not applicable,Site based only,No Association Membership
1242,Rotman Arts and Science School,667420,Offers credits toward the Ontario Secondary School Diploma (OSSD),Trung Thanh Pham,,,7 Bradwick Drive,Vaughan,Ontario,L4K2T4,647-309-1699,,Central Region,info@rotmanschool.com,rotmanschool.com,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
1243,Rouge Valley Education Center,668261,Offers credits toward the Ontario Secondary School Diploma (OSSD),Nathiya Gnanapragasam,,,3351 Ellesmere Road,Scarborough,Ontario,M1C1H1,416-282-5139,416-282-8615,East Region,selvinrvec@gmail.com,www.rvec.ca,Secondary,All Year Round,Site based only,No Association Membership
1244,Rowan Tree Children's School,666615,,Sabrina Hale,,,780 Argyle Street,Peterborough,Ontario,K9H5T2,705-768-9967,,East Region,info@rowantreeschool.ca,www.rowantreeschool.ca,Elementary,Not applicable,Site based only,Waldorf Early Childhood Association of North America
1245,Rowntree Montessori Schools,886530,,Darlene Schewske,,,3 Sunforest Drive,Brampton,Ontario,L6Z2Z2,905-790-3838,905-790-5686,Central Region,admin@rowntreemontessori.com,www.rowntreemontessori.com,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
1246,Royal Cachet Montessori School,883869,,Kathy Bobotsis,,,9921 Woodbine Avenue,Markham,Ontario,L6C1H7,905-888-7700,,Central Region,info@rcmschool.ca,,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
1247,Royal Cachet Montessori School Stouffvil,881253,,Kathy Bobotsis,,,160 Mostar Street,Whitchurch-Stouffville,Ontario,L4A0Y2,905-640-8088,,Central Region,info@rcmschool.ca,,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
1248,Royal Canadian High School,665214,Offers credits toward the Ontario Secondary School Diploma (OSSD),Eddie Oz,,,78 Allure St.,Newmarket,Ontario,L3X0L1,587-966-4401,,East Region,eddieoz@royalcanadianhighschool.ca,https://www.royalcanadianhighschool.ca/,Secondary,Not applicable,Online Only,No Association Membership
1249,Royal City Baptist Academy,882744,,Wayne Boadway,,,100 RIDGEWOOD AVE,Guelph,Ontario,N1H6C5,519-221-0483,,West Region,wayne.boadway@bell.net,,Elem/Sec,Not applicable,Site based only,Other
1250,Royal Crown Academic School,887482,Offers credits toward the Ontario Secondary School Diploma (OSSD),Michael Burke,,,4620 Finch Avenue East,Scarborough,Ontario,M1S4G2,416-519-0476,416-519-0471,East Region,admissions@royalcrowncollege.com,www.royalcrownschool.com,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
1251,Royal Oak Community School,885094,,Julia Murray,,419,176 Wellington Street,Niagara-On-The-Lake,Ontario,L0S1J0,905-328-9592,,West Region,admin@royaloakschool.ca,www.royaloakschool.ca,Elementary,Not applicable,Site based only,No Association Membership
1252,Royal Ontario Academy,669115,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lori DeAngelis,,,121 Brunel Road,Mississauga,Ontario,L4Z3E9,647-205-3788,,Central Region,info@royalontarioacademy.com,,Secondary,All Year Round,Online/Site Based,No Association Membership
1253,Royal SCITS Academy,669859,Offers credits toward the Ontario Secondary School Diploma (OSSD),Taylor Dark,,,275 Wellington street,Sarnia,Ontario,N7T1H1,,,West Region,admin@royalscits.ca,www.royalscits.ca,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
1254,Royal St George's College,887005,Offers credits toward the Ontario Secondary School Diploma (OSSD),Stephen Beatty,,,120 Howland Ave,Toronto,Ontario,M5R3B5,416-533-9481,416-533-0028,Toronto Region,contactus@rsgc.on.ca,http://www.rsgc.on.ca,Elem/Sec,Not applicable,Site based only,Independent and Private School Forum
1255,Rutherford Private School,665178,Offers credits toward the Ontario Secondary School Diploma (OSSD),Igor Sarjinsky,1220,,4789 Yonge Street,Toronto,Ontario,M2N0G3,905-532-0229,,Central Region,info@rutherfordschool.ca,https://rutherfordschool.ca/,Secondary,Not applicable,Online/Site Based,No Association Membership
1256,SIMRA Academy Private School,668952,Offers credits toward the Ontario Secondary School Diploma (OSSD),Shaukat Ali,209,,2929 Lawrence Avenue East,Toronto,Ontario,M1P2S8,647-889-4356,,East Region,simra.academy@live.com,,Secondary,All Year Round,Site based only,No Association Membership
1257,SITPI ACADEMY,886251,,Abiramy Tharmendra,24,,3031 MARKHAM ROAD,SCARBOROUGH,Ontario,M1X1K9,416-214-9300,,East Region,ABIRAMY.THARMENDRA@SITPI.ACADEMY,WWW.SITPI.ACADEMY,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
1258,SLI The Sidney Ledson School,883145,,Rumina Shivji,107,,220 Duncan Mill Road,North York,Ontario,M3B3J5,416-447-5355,416-447-5283,Central Region,sidney.ledson@bellnet.ca,www.sidneyledsoninstitute.net,Elementary,Not applicable,Online/Site Based,No Association Membership
1259,SNMC Albushra School,886178,,Sara El Arbid,,,3020 Woodroffe Ave,Nepean,Ontario,K2J4G3,613-440-6300,,East Region,Albushraschool@snmc.ca,https://albushraschool.ca/,Elementary,Not applicable,Site based only,No Association Membership
1260,ST.CUTHBERT CLASSICAL ACADEMY,669557,Offers credits toward the Ontario Secondary School Diploma (OSSD),Bryan Ho,220,,550 Highway 7 East,Richmond Hill,Ontario,L5M6E3,647-838-6466,,Central Region,INFO@STCUTHBERTACADEMY.COM,www.stcuthbertacademy.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
1261,STEM Montessori Academy of Canada,669377,,Vonnie Robinson,,,24 Alexander Street,Brampton,Ontario,L6V1H6,416-244-3719,,Central Region,info@stemcanada.ca,stemcanada.ca,Elementary,Not applicable,Online/Site Based,No Association Membership
1262,STEM-E,883447,,Dwight Stewart,308,,701 Sheppard Avenue E,North York,Ontario,M2K2Z3,647-354-2287,,Toronto Region,admin@stem-e.net,stem-e.net,Secondary,Not applicable,nan,
1263,STEMVOX Academy,885826,,Timothy Gard,1,,1130 8th Street East,Owen Sound,Ontario,N4K5N8,416-433-5209,,West Region,timg@stemvox.com,https://stemvox.com/stemvox-school,Elementary,Not applicable,Site based only,No Association Membership
1264,STRATHROY PRIVATE MENNONITE CHRISTIN SCHOOL,882132,,G KLASSEN,,,24542 MELBOURN RD 3,STRATHROY,Ontario,N7G3H5,519-403-5565,,West Region,principal.strath@gmail.com,,Elem/Sec,Not applicable,Site based only,Mennonite school community
1265,Saba's Academy,887085,,Saba Ahmed,27,,1675 The Chase Road,Mississauga,Ontario,L5M5Y7,647-272-1745,,Central Region,sabas.academy@yahoo.com,www.sabasacademy.com,Elementary,Not applicable,Online/Site Based,No Association Membership
1266,Sacred Heart Private School,887694,,Amanda Dudfield,,,1 Edward Street,Welland,Ontario,L3C5H2,905-732-4542,,West Region,sacredheartprivateschool22@gmail.com,,Elementary,Not applicable,Site based only,No Association Membership
1267,Safa & Marwa Islamic School,668541,Offers credits toward the Ontario Secondary School Diploma (OSSD),Elham Abdel-Hamid,,,5585 McAdam Rd,Mississauga,Ontario,L4Z1N4,905-566-8533,866-565-6628,Central Region,elhamhindy@yahoo.ca,www.safaandmarwa.ca,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
1268,Safa & Marwa Islamic School,884856,,Elham Abdel-Hamid,,,5550 Mcadam Road,Mississauga,Ontario,L4Z1P1,905-566-8533,866-565-6628,Central Region,admin@safaandmarwa.ca,www.safaandmarwa.ca,Elementary,Not applicable,Online/Site Based,No Association Membership
1269,Safinah Academy,883135,,Abbas Piparawala,,,139 King Street E,Bowmanville,Ontario,L1C1N6,289-675-7868,,East Region,abbaspip@gmail.com,,Elementary,Not applicable,Online/Site Based,No Association Membership
1270,Saint Sava Serbian Orthodox Elementary School,882815,,Jovana Vujinovic,,,2520 Dixie Rd.,Mississauga,Ontario,L4Y2A5,647-862-7792,,Central Region,admin@svetisavaskola.com,https://svetisavaskola.com/,Elementary,Not applicable,Site based only,No Association Membership
1271,Sakatcheway Anishinabe,663794,Offers credits toward the Ontario Secondary School Diploma (OSSD),Pauline Davis,,,1 Education Drive,Grassy Narrows,Ontario,P0X1B0,807-925-2626,807-925-2855,North Region,pdavis@gnea.ca,,Elem/Sec,First Nation,Site based only,No Association Membership
1272,Salaheddin Islamic School,878170,Offers credits toward the Ontario Secondary School Diploma (OSSD),Aly Hindy,,,741 Kennedy Road,Scarborough,Ontario,M1K2C6,416-264-9495,416-264-3343,East Region,principal@salaheddin.org,,Elem/Sec,Not applicable,Site based only,No Association Membership
1273,Salem Valley Parochial School,875392,,Henry Bauman,,,42609 Salem Road 1,Wingham,Ontario,N0G2W0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
1274,Sandy Lake Christian School,886146,,Mark Boese,,,"RR1, Site 7A",Keewatin,Ontario,P0X1C0,204-326-8507,,North Region,sandylakeschool@gmail.com,,Elem/Sec,Not applicable,Site based only,No Association Membership
1275,Sarnia Christian School,886416,,Len Smit,,,1273 Exmouth Street,Sarnia,Ontario,N7S1W9,519-383-7750,519-383-6304,West Region,info@sarniachristian.com,http://www.sarniachristian.com/index.php,Elementary,Not applicable,Site based only,EDVance
1276,Sarnia Islamic Academy,666269,,Rahaf Abou Shaar,,,1609 London Line,Sarnia,Ontario,N7W1A9,226-776-4444,226-776-4644,West Region,sarniaacademy@gmail.com,Www.SarniaAcademy.ca,Elementary,Not applicable,Online/Site Based,No Association Membership
1277,"Sathya Sai School, Toronto, Canada",665134,,Liet Hau,,,451 Ellesmere Rd,Toronto,Ontario,M1R4E5,416-297-7970,416-297-0945,East Region,info@sathyasaischool.ca,http://www.sathyasaischool.ca/,Elementary,Not applicable,Site based only,No Association Membership
1278,Sauder Academy,881786,Offers credits toward the Ontario Secondary School Diploma (OSSD),Nidhi Vyas,200,,440 Laurier Avenue West,Ottawa,Ontario,K1R7X6,613-508-0262,,East Region,info@sauderacademy.ca,www.sauderacademy.ca,Secondary,All Year Round,Online Only,No Association Membership
1279,Saugeen Pines Parochial School,882644,,Michelle Brubacher,,,042100 Road 71 4,Mount Forest,Ontario,N0G2L0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
1280,Saugeen Riverside Parochial School,884138,,Marie Knorr,,,044432 Southgate Road 04 1,Mount Forest,Ontario,N0G2L0,519-323-4261,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
1281,Scholars Academy,883917,,Edward Kalnins,,,3111 Universal Dr,Mississauga,Ontario,L4X2E2,866-636-3250,,Central Region,ted@scholarsed.com,www.scholarsed.com,Elementary,Not applicable,Site based only,No Association Membership
1282,Scholars' Hall Private School,882216,Offers credits toward the Ontario Secondary School Diploma (OSSD),Cherylynne McKee,,,888 Trillium Dr,Kitchener,Ontario,N2R1K4,519-888-6620,519-884-0316,West Region,mckee.cheryl@gmail.com,http://www.scholarshall.com,Elem/Sec,Not applicable,Site based only,No Association Membership
1283,Scriven Christian Academy,889954,,Donna Hicks,,,184 Toronto Rd RR 1,Port Hope,Ontario,L1A3V5,905-885-2900,905-885-8640,East Region,donnahicks@bellnet.ca,,Elementary,Not applicable,Site based only,Other
1284,Second Nature,886053,,Emily Ellwood,250,,36 Antares Drive,Nepean,Ontario,K2E8A9,613-247-7900,,East Region,anastasia.machan@secondnaturefamily.com,https://www.secondnaturefamily.com/,Elementary,Not applicable,Site based only,No Association Membership
1285,Seedlings Forest School,665111,,Stephanie Klein,,,4472 Long Lake Road,Sudbury,Ontario,P3G1K4,705-822-9143,,North Region,seedlingsforestschool@gmail.com,www.seedlingsforestschool.org,Elementary,Not applicable,Site based only,No Association Membership
1286,Seedlings Forest School,669005,,Stephanie Klein,,,4472 Long Lake,Sudbury,Ontario,P3G1K4,705-822-9143,,North Region,seedlingsforestschool@gmail.com,www.seedlingsforestschool.org,Elementary,Not applicable,Site based only,No Association Membership
1287,Seerah Mission School,668400,,Salma Ali,3,,43 Railside Road,Toronto,Ontario,M3A3L9,416-285-5999,,Central Region,info@seerahmission.com,www.seerahmission.com,Elementary,Not applicable,Site based only,Independent and Private School Forum
1288,Selm Academy,668906,,Mohammadreza Ardehali,,,845 Graham Sideroad,King,Ontario,L3Y4V9,647-727-1192,,Central Region,ardehali@selmacademy.com,selmacademy.com,Elementary,Not applicable,Online/Site Based,No Association Membership
1289,Seminary of Sacred Knowledge,668502,,ibrahim sharif,,,6101 Essex county Road 20,Amherstburg,Ontario,N0R1G0,226-899-7266,,West Region,ibrahimsharif@seminaryofsk.com,seminaryofsk.com,Elementary,Not applicable,Online/Site Based,No Association Membership
1290,Seneca Hill Private School,877328,,Nicolas Esper,,,33 Overland Dr,North York,Ontario,M3C2C3,416-499-8790,,Central Region,admin@senecahill.ca,www.senecahill.ca,Elementary,Not applicable,Site based only,Independent and Private School Forum
1291,Seven Bridges Parochial School,669301,,Beulah Martin,,,9326 Wellington Road 6 1,Harriston,Ontario,N0G1Z0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
1292,Seven Generations Secondary School,663743,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sean Taggart,,Box 297,1452 Idylwild Drive,Fort Frances,Ontario,P9A3M6,807-274-8569,807-274-8761,North Region,,7generations.org,Secondary,First Nation,Site based only,No Association Membership
1293,Sevenoaks Academy,880718,,CHERIE HUGHES,,,190 Cook Street,Barrie,Ontario,L4M4H5,705-722-0397,,Central Region,administrator@sevenoaksacademy.ca,www.sevenoaksacademy.ca,Elementary,Not applicable,Site based only,No Association Membership
1294,Seventh Fire Secondary School,884686,Offers credits toward the Ontario Secondary School Diploma (OSSD),Omer Belisle,,,175 High Street North,Thunder Bay,Ontario,P7A8C7,807-699-0233,807-475-4882,North Region,agraham@lacdesmillelacs.ca,,Elem/Sec,First Nation,Site based only,No Association Membership
1295,Sharp Eagles,665708,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mehri Chehreh Arae Ziabari,211,,8108 Yonge Street,Thornhill,Ontario,L4J1W4,416-602-0121,,Central Region,norozha70@yahoo.com,www.sharpeagles.com,Secondary,All Year Round,Site based only,No Association Membership
1296,Sharp Minds Academy,668566,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Fahim Khan,Unit C6,,2200 Brock Road,Pickering,Ontario,L1X2R2,905-239-3400,,East Region,learn@sharpminds.ca,www.sharpminds.ca,Secondary,Summer,Online/Site Based,No Association Membership
1297,Sharpminds Tutoring Inc.,666978,Offers credits toward the Ontario Secondary School Diploma (OSSD),Fahim Khan,308,,137 Main Street N,Markham,Ontario,L3P1Y2,905-471-7333,,Central Region,fahim@sharpminds.ca,www.sharpminds.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
1298,Shekinah Christian School,886218,,Shane Steckly,,,410 Sideroad 20 North,Mildmay,Ontario,N0G2J0,519-291-0441,,West Region,,,Elem/Sec,Not applicable,Site based only,No Association Membership
1299,Sherwood Heights School,875643,Offers credits toward the Ontario Secondary School Diploma (OSSD),Anthony Mutlak,,,3650 Platinum Dr,Mississauga,Ontario,L5M0Y7,905-569-8999,905-569-9034,Central Region,info@sherwoodheights.com,http://www.sherwoodheights.com,Elem/Sec,Not applicable,Site based only,Independent and Private School Forum
1300,Sherwood Heights School - Mississauga,668543,Offers credits toward the Ontario Secondary School Diploma (OSSD),Christine Mutlak,,,5870 Kennedy Road,Mississauga,Ontario,L4Z4G6,905-712-4343,905-569-9034,Central Region,info@sherwoodheights.com,www.sherwoodheights.com,Elem/Sec,Not applicable,Site based only,Independent and Private School Forum
1301,Shewfelt Creek Parochial School,882342,,Louisa Martin,,,2608 Government Road 1,Desbarats,Ontario,P0R1E0,,,North Region,,,Elementary,Not applicable,Site based only,No Association Membership
1302,Shiloh Christian Institute,877190,,Edward McHugh,,,1166 Cardiff Blvd,Mississauga,Ontario,L5S1P7,905-458-6383,905-458-8545,Central Region,emchugh672@gmail.com,www.shilohci.com,Elem/Sec,Not applicable,Site based only,No Association Membership
1303,Shiloh Christian School,882005,,Walter Kauenhofen,,,47334 Church Street 3,St. Thomas,Ontario,N5P3S7,226-980-6672,,West Region,contact@shilohmennonitechurch.ca,,Elem/Sec,Not applicable,Site based only,No Association Membership
1304,Shining Stars School,669169,,Rania Ghobrial,,,1700 Mazo Crescent,MISSISSAUGA,Ontario,L5J1Y6,289-400-4099,,Central Region,raniaghobrial@shiningstarssupport.com,shiningstarssupport.com,Elementary,Not applicable,Site based only,No Association Membership
1305,Shiridi Sai School of Canada,666674,,Suwendrini Nirmalchandran,,,2701 Markham Road,Scarborough,Ontario,M1X1M4,416-298-3030,,East Region,suenirmal@gmail.com,,Elementary,Not applicable,Site based only,No Association Membership
1306,Shmuel Zahavy Cheder Chabad School,665643,,Israel Bard-Wigdor,,,148 Thornridge Drive,Thornhill,Ontario,L4J1E3,416-663-1972,,Central Region,administrator@chederchabad.com,www.chederchabad.com,Elementary,Not applicable,Site based only,No Association Membership
1307,Shokoofa Toronto,882701,,Ashraf Jamali,201,,85 Broadway Street,Tillsonburg,Ontario,N4G3P5,647-709-4242,,Toronto Region,a.jamali.school@gmail.com,,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
1308,Sid Academy,885639,,S Anjum,,,311 Brock St North,Whitby,Ontario,L1N4H8,647-832-8378,,Central Region,info@thesidacademy.com,thesidacademy.com,Secondary,Not applicable,Online/Site Based,No Association Membership
1309,Sikhi Maarag School,882490,,Sidak-Kaur Mangat,151 A/B,,2960 Drew Dr,Mississauga,Ontario,L4T0A5,647-830-6909,,Central Region,info@sikhimaaragchool.com,https://sikhimaaragschool.com/,Elementary,Not applicable,Site based only,No Association Membership
1310,Silver Lake Parochial School,876780,,Brubacher Annie,,,307 Hayes Lake Avenue 1,Holyrood,Ontario,N0G2B0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
1311,Silverwoods International School,666374,Offers credits toward the Ontario Secondary School Diploma (OSSD),Muhammad Asim Latif,205,,5871 Highway 7,Markham,Ontario,L3P1A3,289-554-2422,,Central Region,Info@intl-silverwoodschool.ca,https://intl-silverwoodschool.ca,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
1312,Simcoe High School,669034,Offers credits toward the Ontario Secondary School Diploma (OSSD),Taher Saifuddin,202,,100 Pertosa Drive,Brampton,Ontario,L6X0H9,647-883-5851,,Central Region,tahersaifuddin36@gmail.com,http://mysimcoe.ca/,Secondary,All Year Round,Online/Site Based,No Association Membership
1313,Simon Jacob Memorial Education Centre,663786,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mary Gardiner,,240,240 Main Street,WEBEQUIE,Ontario,P0T3A0,807-353-6491,807-353-1306,North Region,maryrvn7@gmail.com,,Elem/Sec,First Nation,Site based only,No Association Membership
1314,Six Nations Polytechnic Secondary School,664813,Offers credits toward the Ontario Secondary School Diploma (OSSD),Reva Bomberry,,,411 Elgin Street,Brantford,Ontario,N3S7P5,226-493-1234,519-445-4416,West Region,reception@snpsteam.com,snpsteam.com,Secondary,First Nation,Site based only,No Association Membership
1315,Smithside Parochial School,887773,,Dorcas Martin,,,3621 Boomer Line 1,St. Clements,Ontario,N0B2M0,519-699-1313,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
1316,Smithville District Christian High Schoo,881066,Offers credits toward the Ontario Secondary School Diploma (OSSD),Linda DELEAN,,,6488 Townline Rd,Smithville,Ontario,L0R2A0,905-957-3255,905-957-3431,West Region,office@smithvillechristian.ca,http://www.smithvillechristian.ca,Secondary,Not applicable,Site based only,EDVance
1317,Socrates,669969,Offers credits toward the Ontario Secondary School Diploma (OSSD),Konstantinos Flegas,,,135 Overlea Blvd,Toronto,Ontario,M4K1M8,416-425-2485,,Toronto Region,kflegas@hotmail.com,www.greekcommunity.org,Secondary,Not applicable,Site based only,No Association Membership
1318,Solid Foundations School,669530,,Dirk de Bruin,,,640 Main Street South,Burgessville,Ontario,N0J1C0,519-424-7233,,West Region,admin@sfschool.ca,www.sfschool.ca,Elem/Sec,Not applicable,Site based only,EDVance
1319,Solid Rock Academy,886237,,Heena McKoy,10,,44 Blv Steinway,Etobicoke,Ontario,M9W6Y7,416-213-0201,,Toronto Region,info@solidrockacademy.ca,www.solidrockacademy.ca,Elementary,Not applicable,Site based only,Other
1320,Somerset Academy,889300,,Cathleen Barogianis,,,7700 Brimley Rd,Markham,Ontario,L3R0E5,905-940-8990,905-940-8992,Central Region,administration@somersetacademy.ca,http://www.somersetacademy.ca/,Elementary,Not applicable,Site based only,No Association Membership
1321,Songbirds Montessori School,888588,,Preeti Paul,11,,2 Fisherman Drive,Brampton,Ontario,L7A1B5,905-846-4044,800-285-1068,Central Region,ppaul@songbirdsmontessorischool.com,www.songbirdsmontessorischool.com,Elementary,Not applicable,Site based only,No Association Membership
1322,Sonrise Christian Academy,888702,,Holly Verkuyl,,,58 Johnson St,Picton,Ontario,K0K2T0,613-476-7883,,East Region,office@sonrisechristianacademy.com,www.sonrisechristianacademy.com,Elementary,Not applicable,Site based only,EDVance
1323,Sophio,669986,,Nojan Norouzi,,,60 Nahanni Drive,Richmond Hill,Ontario,L4B4L4,647-308-5938,,Central Region,info@sophio.ca,www.sophio.ca,Secondary,Not applicable,Online/Site Based,No Association Membership
1324,South Belmore Parochial School,883009,,Eli Hoover,,,42634 Glenannon Road 2,Wingham,Ontario,N0G2W0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
1325,South Bend Parochial School,882097,,Nancy Bearinger,,,391486 Grey Road 109 3,Mount Forest,Ontario,N0G2L0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
1326,South Heidelberg Parochial School,887781,,Martha Weber,,,2568 Kressler Road 1,St. Clements,Ontario,N0B2M0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
1327,South Point Christian School,668485,,Eugene Amstutz,,,1947 Fox Run Road 4,Leamington,Ontario,N8H3V7,519-326-8522,519-326-4654,West Region,esamstutz@icloud.com,,Elem/Sec,Not applicable,Site based only,No Association Membership
1328,South Ridge High School,888538,,Alex Fan,718,,920 Yonge Street,Toronto,Ontario,M4W3C8,819-328-6489,,Toronto Region,info@southridgehighschool.ca,www.southridgehighschool.ca,Secondary,All Year Round,nan,
1329,South Shore Christian School,665245,,Paul Cooper,,,134 Mill St E Street East,Leamington,Ontario,N8H1S6,519-819-2202,,West Region,southshorechristianschool@gmail.com,southshorecs.ca,Elementary,Not applicable,Site based only,EDVance
1330,Spadina International School,886215,Offers credits toward the Ontario Secondary School Diploma (OSSD),Luis Narvaez,,,42 Radison Lane,Hamilton,Ontario,L8H0B5,647-573-7394,,Toronto Region,sis@spadinainternationalschool.ca,www.spadinainternationalschool.ca,Secondary,All Year Round,Online Only,No Association Membership
1331,Spark Asher Academy,886311,Offers credits toward the Ontario Secondary School Diploma (OSSD),Samantha Schmidt,200,,4291 Village Centre Court,Mississauga,Ontario,L4Z1S2,647-227-9920,,Central Region,info@sparkasher.com,sparkasheracademy.com,Elem/Sec,All Year Round,Online/Site Based,Independent and Private School Forum
1332,Speak Spanish Academy,880006,,Celina Gutierrez,13,,71 Speers Road,Oakville,Ontario,L6K0H9,905-815-9777,,Central Region,celina@speakspanishacademy.com,www.SpeakSpanishAcademy.com,Secondary,Not applicable,nan,
1333,Spruce Ridge Parochial School,884405,,Eva Bauman,,,1408 Halm Road 1,West Montrose,Ontario,N0B2V0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
1334,Spruce Vale Parochial School,878219,,Melissa Bauman,,,8276 14th Concession 1,Moorefield,Ontario,N0G2K0,519-638-3224,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
1335,St Andrew's College,885649,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kevin McHenry,,,15800 Yonge St.,Aurora,Ontario,L4G3H7,905-727-3178,905-841-6911,Central Region,st.andrews@sac.on.ca,http://www.sac.on.ca,Elem/Sec,Not applicable,Site based only,Conference of Independent Schools of Ontario
1336,St Clement's School,887013,Offers credits toward the Ontario Secondary School Diploma (OSSD),Martha Perry,,,21 St. Clements Ave,Toronto,Ontario,M4R1G8,416-483-4835,416-483-5040,Toronto Region,,http://www.scs.on.ca,Elem/Sec,Not applicable,Site based only,Conference of Independent Schools of Ontario
1337,St George Academy,666564,Offers credits toward the Ontario Secondary School Diploma (OSSD),Alvin Ma,120,,5 Park Home Avenue,North York,Ontario,M2N6L4,416-590-7771,416-590-7809,Central Region,principal@stgeorgeacademy.com,http://www.stgeorgeacademy.com,Secondary,All Year Round,Site based only,No Association Membership
1338,St John's-Kilmarnock School,888672,Offers credits toward the Ontario Secondary School Diploma (OSSD),Donald Kawasoe,,,2201 Shantz Station Rd,Breslau,Ontario,N0B1M0,519-648-2183,519-648-2186,West Region,hatice.incekol@sjkschool.org,http://www.sjkschool.org,Elem/Sec,Not applicable,Site based only,Conference of Independent Schools of Ontario
1339,St Michael's College School,887145,Offers credits toward the Ontario Secondary School Diploma (OSSD),Patrick Daly,,,1515 Bathurst St,Toronto,Ontario,M5P3H4,416-653-3180,416-653-7704,Toronto Region,dinunzio@smcsmail.com,http://www.stmichaelscollegeschool.com/,Elem/Sec,All Year Round,Site based only,Conference of Independent Schools of Ontario
1340,St Mildred's-Lightbourn School,885932,Offers credits toward the Ontario Secondary School Diploma (OSSD),Catherine Hant,,,1080 Linbrook Rd,Oakville,Ontario,L6J2L1,905-845-2386,905-845-4799,Central Region,contact@smls.on.ca,http://www.smls.on.ca,Elem/Sec,Not applicable,Online/Site Based,Conference of Independent Schools of Ontario
1341,St. Anne's School,885220,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sabrina D'Angelo,,,306 St. John's Sideroad,Aurora,Ontario,L4G4B4,905-727-2008,,Central Region,info@stannes.ca,stannes.ca,Elem/Sec,Not applicable,Site based only,Conference of Independent Schools of Ontario
1342,St. Catherine Academy,665384,Offers credits toward the Ontario Secondary School Diploma (OSSD),Andrew Edwards,202,,124 Cedar Street,Sudbury,Ontario,P3E3L6,825-975-1698,,North Region,stcatherineacademy@yahoo.com,,Secondary,Not applicable,Online/Site Based,No Association Membership
1343,St. Clement's Early Learning,888849,,Marsha Hamilton-Chung,,,70 St. Clements Avenue,Toronto,Ontario,M4R1H2,416-489-0822,416-488-8228,Toronto Region,marsha.hamilton@scels.ca,www.scels.ca,Elementary,Not applicable,Site based only,No Association Membership
1344,St. George Christian Academy,886302,,Dalia Henein,,,3175 Dundas Street West,Oakville,Ontario,L6M4J4,905-337-5811,,Central Region,info@stgcacademy.ca,www.stgcacademy.ca,Elementary,Not applicable,Site based only,EDVance
1345,St. Helen's Parochial School,882748,,Josey Shetler,,,37823 Belfast Road 2,Lucknow,Ontario,N0G2H0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
1346,St. Joseph Academy,884886,,Roberta Skoko,,,156 Martindale Road,St. Catharines,Ontario,L2S2X9,905-401-0174,,West Region,connect@stjosephacademy.ca,www.stjosephacademy.ca,Elementary,Not applicable,Site based only,No Association Membership
1347,St. Joseph Island Christian School,882120,,Katherine Henshell,,,1188 Richards Street,Richard's Landing,Ontario,P0R1J0,705-246-7860,,North Region,stjoechristianschool@gmail.com,,Elementary,Not applicable,Site based only,No Association Membership
